Ticket No,Date/Time,In/Out,Vehicle,Order Ref,Account,Destination,EWC,Gross,Tare,Bridge,Operator,Comments
WB-0098231,06/08/2026 14:22,IN,YJ71 KLM,JOB-1042,ACC-0001,,17 09 04,"14,260",8400,WB1,K Dolan,
WB-0098232,06/08/2026 15:05,IN,YJ71KLM,,ACC-0001,,170904,13980,8400,WB1,K Dolan,"Driver reported some plasterboard, quarantined"
WB-0098233,07/08/2026 08:14,IN,BX19 TRV,JOB-1044,ACC-0002,,170504,21450,9100,WB1,K Dolan,Soil - inert only
WB-0098234,07/08/2026 11:47,OUT,BX19 TRV,,,OUT-001,170904,29800,9100,WB1,K Dolan,Bulked mixed C&D to MRF
WB-0098235,07/08/2026 13:02,OUT,YJ71 KLM,,,OUT-004,170802,16200,8400,WB1,J Fenton,Plasterboard segregated
WB-0098236,07/08/2026 16:30,OUT,BX19 TRV,,,OUT-007,191212,24100,9100,WB1,J Fenton,Fines to landfill
WB-0098237,10/08/2026 07:58,IN,YJ71 KLM,JOB-1047,ACC-0003,,200301,12100,8400,WB1,K Dolan,
WB-0098238,10/08/2026 09:31,IN,LM70 WPD,,ACC-0001,,170201,11350,7900,WB2,K Dolan,Wood - clean
WB-0098239,10/08/2026 14:12,OUT,LM70 WPD,,,OUT-003,170201,28600,7900,WB2,J Fenton,Wood chip to biomass
WB-0098240,11/08/2026 10:05,IN,BX19 TRV,JOB-1049,ACC-0002,,170405,15900,9100,WB1,K Dolan,Mixed metals
